Kode_Barang,Nama_Barang,Stok_1,Stok_2,Stok_3,Stok_4,Stok_5,Stok_6,Stok_7,Stok_8,Stok_9,Stok_10,Stok_11,Stok_12,Stok_13,Stok_14,Stok_15
A01,MEO PERSIAN 1.1 KG,12,15,13,14,13,14,11,14,16,17,14,13,12,12,13
A010,CAT CHOIZE TUNA ADULT 800 GR,24,26,24,26,24,24,24,25,26,25,25,22,30,27,28
A011,CAT CHOIZE SALMON KITTEN 1KG,24,22,25,22,23,24,25,22,22,22,22,25,24,23,25
A012,CAT CHOIZE SALMON ADULT 800GR,105,102,90,102,90,105,90,101,102,101,101,105,20,21,90
A013,ORICAT ADULT 1KG,11,15,19,15,19,11,19,15,15,15,15,26,40,41,19
A014,ORICAT KITTEN 500GR,24,26,22,26,22,24,22,26,26,26,26,30,21,22,22
A015,MARKOTOP TUNA SALMON 1KG,30,30,22,30,22,30,22,30,30,30,30,32,70,67,22
A016,RC KITTEN PERSIAN 400GR,24,32,30,32,30,24,30,32,32,32,32,40,12,12,30
A017,EXCEL ORANGE 500GR,36,40,24,40,24,36,24,40,44,40,40,18,18,19,24
A018,EXCEL HIJAU 500GR,15,18,20,18,20,15,20,18,20,18,18,45,20,22,20
A019,EXCEL UNGU 500GR,50,45,40,45,40,50,40,45,40,45,45,30,25,24,40
A02,MEO KITTEN PERSIAN 1.1 KG,34,30,21,30,21,34,21,30,21,50,30,54,35,32,21
A020,FELIBITE IKAN 1KG,60,54,70,54,70,60,70,54,70,34,54,10,20,23,70
A021,FELIBITE IKAN HK 500GR,12,10,12,10,12,12,12,10,12,60,10,16,35,37,12
A022,FELIBITE DONAT HK 500GR,12,16,18,16,18,12,18,16,18,12,16,11,105,104,18
A023,WON CAT 500GR,12,11,20,11,20,12,20,11,20,12,11,20,60,58,20
A024,SNAPPY TOM SARDINES CHICKEN 400GR,15,20,25,20,25,15,25,20,25,12,20,30,110,100,25
A025,SNAPPY TOM SARDINES SMOKED SALMON 400GR,24,30,35,30,35,24,35,30,35,15,30,15,60,61,35
A026,SNAPPY TOM TUNA CHICKEN 400GR,17,15,20,15,20,17,20,15,20,24,15,30,85,89,20
A027,SNAPPY TOM LAMB,20,30,35,30,35,20,35,30,35,17,30,10,30,33,35
A028,SNAPY TOM TUNA SARDINES CHUNK 400GR,90,100,105,100,105,90,105,99,105,20,99,50,56,55,105
A029,SNAPPY TOM WHOLEFISH 400GR,54,50,60,50,60,54,60,46,90,90,46,120,124,125,60
A03,MEO TUNA ADULT 1.2 KG,120,144,110,120,110,120,110,100,54,54,100,50,16,110,110
A030,BABY SNAPPY TOM BEEF FEAST 400GR,50,36,60,50,60,50,60,50,120,120,50,70,35,60,60
A031,BABY SNAPPY TOM CHICKEN FEAST 400GR,70,80,85,70,85,70,85,70,50,50,70,24,60,85,85
A032,CHUNKY SALMON STEW RECIPE 400GR,24,25,30,24,30,24,30,24,70,70,24,85,40,30,30
A033,CHUNKY BEEF STEW RECIPE 400GR,6,6,6,6,6,6,6,6,5,24,6,30,30,6,6
A034,MARKOTOP TUNA 400GR,24,24,24,24,24,24,24,24,24,6,24,6,25,24,24
A035,MARKOTOP TUNA & SARDINES 400G,16,16,16,16,16,16,16,16,24,24,16,24,35,16,16
A036,PRODIET SEAFOOD 400GR,20,25,35,20,35,20,35,20,16,16,35,16,20,35,35
A037,PRODIET TUNA 400G,48,50,60,48,60,48,60,58,20,20,60,35,35,60,60
A038,SUPER CAT TUNA BEEF & LIVER 400G,20,35,40,20,40,20,40,20,48,48,40,60,105,40,40
A039,SUPER CAT OCEAN FISH 400G,22,34,30,22,30,22,30,22,20,20,30,40,24,30,30
A04,CLEO TUNA FLAVOR 1.2 KG,15,20,25,15,25,15,25,15,22,22,25,30,12,25,25
A040,SUPER CAT TUNA BEEF & TURKEY 400G,24,30,35,24,35,24,35,24,15,15,35,25,12,35,35
A041,SUPER CAT SEAFOOD PLATTER SUPREME 400G,17,15,20,17,20,17,20,17,24,24,20,35,24,20,20
A042,SUPER CAT CHICKEN TUNA 400G,20,30,35,20,35,20,35,20,17,20,35,20,24,35,35
A043,LIFE CAT TUNA ADULT 400G,90,100,105,90,105,90,105,90,20,24,105,35,60,105,105
A044,LIFE CAT TUNA KITTEN 400G,24,30,24,24,24,24,24,24,90,90,24,105,60,24,24
A045,LIFE CAT SALMON KITTEN 400G,12,25,12,12,12,12,12,12,24,24,12,24,60,12,12
A046,LIFE CAT CHICKEN SALMON 400G,12,34,12,12,12,12,12,12,12,12,12,12,60,12,12
A047,MEO TUNA IN JELLY ADULT 400G,24,55,24,24,24,24,24,24,24,24,24,12,53,24,24
A048,MARKOTOP LIQUID SALMON,24,43,24,24,24,24,24,24,24,24,24,24,23,24,24
A049,MARKOTOP LIQUID TUNA & SALMON,60,32,60,60,60,60,60,60,60,60,60,24,35,60,60
A05,WHISKAS OCEAN FISH FLAVOR1.1 KG,60,12,60,60,60,60,60,60,60,60,60,60,35,60,60
A050,MARKOTOP LIQUID TUNA & CHICKEN,60,53,60,60,60,60,60,60,60,60,60,60,60,60,60
A051,MARKOTOP LIQUID TUNA,60,23,60,60,60,60,60,60,60,60,60,60,60,60,23
A052,MARKOTOP LIQUID TUNA & SCALLOP,24,53,24,24,53,24,24,24,53,53,24,60,60,24,53
